Default Report,,,
Last Modified: 2017-04-23 08:10:38 MDT,,,
,,,
,,,
Q1 - What is your age?,,,
#,Answer,%,Count
1,18 years old or younger,3.70%,4
2,19 years old,11.11%,6
3,20 years old,38.89%,21
4,21 years old,25.93%,14
5,22 years old or older,20.37%,16
,Total,100%,61
,,,
Q2 - Are you a student?,,,
#,Answer,%,Count
1,Yes,86.79%,46
2,No,13.21%,7
,Total,100%,53
,,,
"Q4 - Do you use a planner? If so, please specify (if an app, please name it)",,,
#,Answer,%,Count
1,No,42.59%,23
2,"Yes, physical planner",27.78%,15
3,"Yes, digital/mobile planner (Please specify)",29.63%,16
,Total,100%,54
,,,
"Q4_3_TEXT - Yes, digital/mobile planner (Please specify)",,,
"Yes, digital/mobile planner (Please specify)",,,
Google Calendar,,,
apple calendar ,,,
iPhone calendar ,,,
Google Calendar and Google Keep,,,
Calendar app on iphone,,,
Trello and google calendar,,,
MyHomework,,,
google calendar and minimalist,,,
MyStudentLife,,,
Outlook,,,
Google Calendar,,,
My Homework App,,,
Physical and mobile ,,,
Outlook,,,
iStudiez Pro (synchs my apple calendar),,,
MyStudentLife,,,
,,,
Q20 - What methods do you use to help remind you,,,
#,Answer,%,Count
1,Digital reminders,70.00%,35
2,Write on hand,4.00%,2
3,Sticky notes,26.00%,13
4,Other (list all that apply),18.00%,9
,Total,100%,50
,,,
Other (list all that apply),,,
Other (list all that apply),,,
"Lists, apple watch",,,
Sticky note app on laptop,,,
Memory,,,
checklist on not pad on computer,,,
Digital and notes on paper,,,
to do list on notepad on laptop,,,
my mind,,,
Digital and notes on paper planner ,,,
"I use the sticky notes app on my computer for daily reminders, to-do lists etc, and I get notifications from iStudiez Pro for my assignments, classes, work, etc.",,,
,,,
"Q8 - You're task is to set a digital reminder (a timed alert message). Click the button you believe will set a reminder. If you do not know or are unsure, make your best guess.",,,
Picture 1,,,
,,,
Q9 - How confident are you in your selection?,,,
#,Answer,%,Count
1,Extremely confident,7.32%,3
2,Somewhat confident,48.78%,20
3,Neither,12.20%,5
4,Somewhat unconfident,24.39%,10
5,Extremely unconfident,7.32%,3
,Total,100%,41
,,,
Q10 - How difficult was it to locate the button?,,,
#,Answer,%,Count
1,Extremely easy,9.76%,4
2,Somewhat easy,43.90%,18
3,Neither,21.95%,9
4,Somewhat difficult,21.95%,9
5,Extremely extremely,2.44%,1
,Total,100%,41
,,,
Q11 - Would you change it if you could?,,,
#,Answer,%,Count
